Id,SalePrice
2658,116809.66383829755
2718,163616.200678743
2414,225199.5384822199
1989,119060.6805169874
625,164577.44425523214
333,90080.94989270344
1327,117087.19220037824
858,143378.57707641515
95,185610.69967501453
1568,170991.8066043257
2482,159137.29738475534
1364,121893.04011206867
2584,146108.6850015835
818,253649.89574707628
2673,159359.8367302048
2089,130873.78106299734
1297,156179.90894513417
790,117840.44021392571
2616,201389.99743034464
720,184676.42664408206
222,140930.5817679313
557,128890.76741869508
1148,186175.04300199592
2766,175431.10331342588
534,181832.6182241091
1452,112670.62388607973
630,138005.52660043802
2648,120465.46299371595
125,156472.41598305837
1904,74784.14097636567
1670,110070.36146590344
756,106251.75822734406
717,207774.22902878982
1032,158229.6169728674
852,208002.5138050742
1731,200433.8519587832
2639,116424.05622771927
2071,101888.48114262507
1267,115177.31791909727
1851,190483.49803977774
567,169099.60177091853
2439,211974.39833142635
1898,152434.36583677214
647,135885.2033107962
2256,202522.42633448748
979,97681.633563448
1444,219342.84730209416
2485,116857.02413925457
157,120549.3686097446
88,125293.5858149313
2003,115166.05294912145
186,170448.30925291774
1425,243698.68508498298
2695,130899.69097838845
738,114592.88332561239
395,148102.65290338077
1353,163253.6731619892
1878,146234.03448617857
390,165639.89692645322
1456,238115.14495014373
1103,337834.5800866973
1387,122036.22241805505
2070,147008.12656952825
1199,177867.2530914121
2479,175426.69650057628
501,308842.95753917546
2362,106774.40640524053
1718,189410.75128707066
2188,88017.79245975768
1483,143222.3797996857
2557,89003.83013267905
437,366894.1549750035
2224,234616.33314711924
1628,178902.38287084983
397,125061.53043640553
587,188522.360878399
971,162070.264769762
2611,140546.44064413363
1887,106187.17690676826
2399,368860.30163739785
2148,200622.9386707864
304,124840.16802830253
1997,124271.46681860344
2817,122041.2100631661
1431,213488.2559323251
427,340459.32890631724
263,120164.03002102603
598,186011.85914321747
2895,248255.0835956325
687,152761.202953088
1822,133750.62247158008
2191,107932.52384658251
179,119375.74025502699
1009,213177.4402001182
2010,130194.4952765927
1991,137152.45154198504
1411,152573.7072680367
1721,222530.50372670736
1144,188881.93716877676
593,211314.84780914092
575,313054.4236953486
1249,174839.5396265947
1604,126861.20995296736
1064,508337.29640792456
1923,154101.21075883418
1988,102990.49721173129
2325,179018.4528867117
114,205248.9152662703
2700,175378.1407625271
217,137233.18313553196
343,181535.7624671784
386,228987.13367707437
2005,134112.11236353416
2908,149598.60064329696
1814,237204.15183275344
2446,562274.9851580193
208,131658.48510659207
1679,109305.54164533921
822,327598.301896434
6,197695.66820539607
1781,442018.7854159308
2397,300690.06650662835
2340,329733.98544383206
1618,179483.07318932895
2843,128594.4126296635
1061,370938.98552132177
2786,122520.71778621404
1935,135908.8152326869
1341,121314.84113060033
521,277726.6263856949
2136,132717.2963730165
996,194859.02121410676
227,153943.05337534423
135,176952.16639713745
1167,160289.03428566043
294,228997.72219639068
1776,216962.7140303962
540,176732.37256908359
1717,194634.97649713818
2303,126376.72815259894
116,180946.75018238742
127,133350.43357643773
1371,132486.47890124877
1014,188806.99492917646
1507,109977.77191824072
702,129994.96683001418
750,139363.91585028134
261,148384.41889658774
1559,82130.22044660056
577,235079.08071428037
2812,206625.17029760897
2080,155196.9389166818
1368,126637.41984221719
2376,134584.07591373296
659,110442.77493325809
1235,127045.1608258172
332,84514.29168413473
1917,141245.0118441431
2094,243237.2975860705
1460,254718.4812704623
1471,208181.99285369294
1509,127601.7293476435
1922,138095.7270504938
433,514281.52933253953
460,251831.2970070657
1116,257440.50386241055
1137,172180.6325026839
53,160409.66104157333
2354,272160.3932447349
1475,195882.99880692808
1761,574190.5578378179
842,140009.5459966843
2739,176804.82388125372
2509,161261.95987816015
1007,210089.34933502067
2610,183910.76615784556
1952,87832.33122856288
2719,167731.61914215793
2921,82214.00417286114
1966,144734.6647844922
292,127180.22791338949
1204,196550.1098670519
1829,257964.56385084882
2419,199134.67498728476
391,150205.44184798573
798,112983.72923978798
481,201196.5311714634
193,193168.51517329057
555,118017.60188469946
899,83140.61324162359
2357,175556.33038045763
328,105372.26488176551
1356,120354.45062814615
1154,108947.22798011091
1730,191403.87507289217
2249,149497.05639374504
1119,294946.2577201433
2856,143397.6119316981
1394,151403.15749876728
2587,117389.47895080724
61,327546.92246098403
2661,178616.67031458102
2711,129443.0642091349
1147,185431.80816227826
757,137088.38445902953
2623,112145.86493868093
2378,140037.31517465287
1413,131597.8193239452
